date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:42	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2010%20Nov%202021%2017:44:41%20GMT	https://dispatch.me/robots.txt		(from )
21:44:42	194590/194590	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Nov%202021%2017:44:41%20GMT	https://dispatch.me/	D:/MFP/projects/bst/tada2/dispatch.me/index.html	(from )
21:44:43	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%226182d8e8-aab%22	https://dispatch.me/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.2	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/plugins/contact-form-7/includes/css/styles4245.css	(from https://dispatch.me/)
21:44:43	77772/77772	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22017c1619b5016cb78a4e83e9ecbac4e8-gzip%22	https://dispatch.me/feed/	D:/MFP/projects/bst/tada2/dispatch.me/feed/index.html	(from https://dispatch.me/)
21:44:44	8121/8121	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Nov%202021%2017:44:44%20GMT	https://use.typekit.net/egm8bbq.css?ver=1.0.1	D:/MFP/projects/bst/tada2/use.typekit.net/egm8bbqf269.css	(from https://dispatch.me/)
21:44:46	456276/456276	---MCZ	200	added ('OK')	text/css	etag:W/%225e45b923-6f654%22	https://dispatch.me/wp-content/themes/dispatch-skin/style.css?ver=1.0.18	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/themes/dispatch-skin/style2889.css	(from https://dispatch.me/)
21:44:46	17570/17570	---MCZ	200	added ('OK')	text/css	etag:W/%2260e5fb66-44a2%22	http://dispatch.me/wp-content/uploads/pum/pum-site-styles.css?generated=1625684838&ver=1.16.2	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/pum/pum-site-stylesf536.css	(from https://dispatch.me/)
21:44:46	11905/11905	---MCZ	200	added ('OK')	application/javascript	etag:W/%226182d8f3-2e81%22	https://dispatch.me/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.2.0	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min2632.js	(from https://dispatch.me/)
21:44:47	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%226048e0ac-15db1%22	https://dispatch.me/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	D:/MFP/projects/bst/tada2/dispatch.me/wp-includes/js/jquery/jquery.minaf6c.js	(from https://dispatch.me/)
21:44:47	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fb4e3fe-2bd8%22	https://dispatch.me/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/MFP/projects/bst/tada2/dispatch.me/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://dispatch.me/)
21:44:47	891/891	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260afbaf9-37b%22	https://dispatch.me/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-contact-form-7-tracker.js?ver=1.13.1	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-contact-form-7-tracker0028.js	(from https://dispatch.me/)
21:44:47	1536/1536	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260afbaf9-600%22	https://dispatch.me/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker.js?ver=1.13.1	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker0028.js	(from https://dispatch.me/)
21:44:48	148134/148134	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20Nov%202021%2017:44:47%20GMT	https://dispatch.me/wp-json/	D:/MFP/projects/bst/tada2/dispatch.me/wp-json/index.html	(from https://dispatch.me/)
21:44:48	8871/8871	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20Nov%202021%2017:44:47%20GMT	https://dispatch.me/wp-json/wp/v2/pages/6	D:/MFP/projects/bst/tada2/dispatch.me/wp-json/wp/v2/pages/6.json	(from https://dispatch.me/)
21:44:49	780/780	---MCZ	200	added ('OK')	text/xml	date:Wed,%2010%20Nov%202021%2017:44:48%20GMT	https://dispatch.me/xmlrpc.php?rsd	D:/MFP/projects/bst/tada2/dispatch.me/xmlrpc0db0.php	(from https://dispatch.me/)
21:44:49	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	https://dispatch.me/wp-includes/wlwmanifest.xml	D:/MFP/projects/bst/tada2/dispatch.me/wp-includes/wlwmanifest.xml	(from https://dispatch.me/)
21:44:49	2589/2589	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20Nov%202021%2017:44:48%20GMT	https://dispatch.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdispatch.me%2F	D:/MFP/projects/bst/tada2/dispatch.me/wp-json/oembed/1.0/embed277f.json	(from https://dispatch.me/)
21:44:50	2731/2731	---MCZ	200	added ('OK')	text/xml	date:Wed,%2010%20Nov%202021%2017:44:49%20GMT	https://dispatch.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdispatch.me%2F&format=xml	D:/MFP/projects/bst/tada2/dispatch.me/wp-json/oembed/1.0/embedf0ed	(from https://dispatch.me/)
21:44:50	12626/12626	---M--	200	added ('OK')	image/png	etag:%225e2795d3-3152%22	https://dispatch.me/wp-content/uploads/2019/11/cropped-favicon-1-150x150.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2019/11/cropped-favicon-1-150x150.png	(from https://dispatch.me/)
21:44:50	42763/42763	---M--	200	added ('OK')	image/png	etag:%225e2795d3-a70b%22	https://dispatch.me/wp-content/uploads/2019/11/cropped-favicon-1-300x300.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2019/11/cropped-favicon-1-300x300.png	(from https://dispatch.me/)
